Record_ID,Country,City,Date,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity,Wind_Speed_kmh,AQI
AQ_017517,Mexico,Acapulco,2025-01-25,34.8,78.2,13.5,15.1,3.5,13.9,20.9,34.9,6.7,34.0
AQ_009314,France,Nice,2025-03-07,11.7,15.9,9.5,13.6,1.0,12.1,30.2,73.7,4.1,12.0
AQ_008591,India,Kolkata,2025-03-06,23.2,34.6,8.4,7.2,0.9,15.3,38.7,63.8,5.7,19.0
AQ_001228,Germany,Nuremberg,2025-01-28,41.4,76.9,17.2,5.9,2.3,11.2,16.9,94.3,8.9,36.0
AQ_008575,South Korea,Seongnam,2025-01-18,11.2,19.8,7.0,4.6,2.0,13.3,19.7,70.5,3.2,11.0
AQ_017796,Japan,Kumamoto,2025-01-03,17.3,38.2,14.9,22.6,1.1,29.7,33.8,81.8,2.5,21.0
AQ_003434,Japan,Nagoya,2025-01-09,17.3,33.0,12.2,5.6,1.2,20.6,1.8,82.3,12.5,17.0
AQ_017993,Spain,Vigo,2025-01-15,18.1,22.3,11.6,11.7,1.6,10.0,15.3,36.3,2.9,15.0
AQ_002735,USA,Seattle,2025-03-07,36.7,65.0,8.8,12.3,4.9,10.0,23.0,,5.2,31.0
AQ_001040,Japan,Sakai,2025-02-05,41.5,84.7,64.3,4.9,1.4,10.0,6.8,31.8,2.2,44.0
AQ_005857,Japan,Kyoto,2025-01-09,48.9,70.8,22.1,5.0,0.9,10.7,8.0,65.0,2.3,38.0
AQ_000163,Japan,Saitama,2025-02-15,188.9,441.0,27.4,6.6,1.8,10.0,9.3,33.4,4.6,169.0
AQ_015205,Brazil,Belem,2025-02-08,135.2,213.2,5.2,4.4,2.7,10.0,18.7,67.2,8.1,99.0
AQ_006830,Russia,Krasnoyarsk,2025-03-24,9.4,17.8,17.8,9.6,1.2,13.4,18.4,89.2,4.6,12.0
AQ_015950,India,Visakhapatnam,2025-01-02,5.0,10.0,17.6,6.9,2.3,10.4,20.2,78.7,5.9,8.0
AQ_013244,UK,Brighton,2025-02-27,14.9,23.6,10.2,3.1,1.9,10.0,2.5,61.5,5.9,13.0
AQ_009785,Russia,Kazan,2025-03-18,39.5,85.0,5.0,7.1,3.0,10.0,7.0,95.5,2.0,35.0
AQ_008446,Brazil,Natal,2025-02-05,31.5,68.0,12.0,5.2,2.1,10.0,14.4,23.4,3.7,29.0
AQ_009461,UK,Manchester,2025-01-13,5.3,10.0,30.5,8.6,1.6,10.0,15.9,44.4,7.3,10.0
AQ_006908,Turkey,Mersin,2025-02-03,10.9,25.1,,7.6,1.7,10.0,26.8,46.9,4.3,12.0
AQ_008333,Mexico,Culiacán,2025-01-01,35.7,42.9,30.6,11.3,1.3,10.0,3.5,57.5,4.3,29.0
AQ_005983,South Korea,Anyang,2025-01-12,54.8,127.3,7.3,14.8,3.1,10.0,9.5,45.1,4.1,51.0
AQ_012546,Mexico,Culiacán,2025-02-28,44.6,57.4,18.4,4.5,1.0,10.0,24.6,48.5,2.8,33.0
AQ_001227,Australia,Wollongong,2025-02-22,14.0,33.7,13.3,3.9,3.0,18.5,18.6,74.4,3.3,16.0
AQ_000591,South Africa,Pietermaritzburg,2025-02-06,138.1,205.4,11.2,2.5,1.4,10.0,-1.4,56.1,3.6,99.0
AQ_002977,Australia,Sydney,2025-02-28,31.6,41.2,11.0,5.0,4.5,10.9,31.2,53.0,7.4,24.0
AQ_008295,Turkey,Elazig,2025-01-24,8.7,19.0,42.9,8.7,4.6,10.0,6.0,72.2,9.3,16.0
AQ_012539,Iran,Yazd,2025-03-28,21.0,38.8,11.4,6.0,1.7,10.0,19.2,100.0,3.4,19.0
AQ_012085,Italy,Messina,2025-01-01,26.2,60.6,5.0,4.1,2.5,10.0,26.4,87.6,3.7,25.0
AQ_001393,Mexico,Mérida,2025-02-05,6.6,13.5,6.4,12.2,1.7,10.5,31.2,100.0,6.8,8.0
AQ_006124,Iran,Tabriz,2025-02-15,22.6,29.3,32.4,4.5,1.7,10.0,,41.5,12.8,21.0
AQ_000903,USA,Fort Worth,2025-02-24,49.1,87.3,19.2,5.5,2.9,10.0,26.6,67.3,7.1,41.0
AQ_009961,Mexico,Nezahualcóyotl,2025-01-17,28.4,65.3,5.9,7.9,2.3,10.0,2.8,57.7,5.9,27.0
AQ_002887,Japan,Fukuoka,2025-03-06,15.8,19.1,5.0,11.2,3.3,23.8,11.7,74.8,2.0,14.0
AQ_010153,Mexico,Chihuahua,2025-02-21,12.4,18.5,17.5,5.6,1.1,10.0,34.8,80.3,2.9,13.0
AQ_010407,Iran,Qazvin,2025-01-10,30.0,36.9,12.4,3.2,1.5,10.0,10.8,70.9,11.2,22.0
AQ_004879,Mexico,Acapulco,2025-02-25,67.7,90.3,35.2,2.0,1.6,10.0,10.7,82.1,3.3,51.0
AQ_006947,India,Bangalore,2025-03-19,9.0,21.8,5.0,3.5,3.3,18.2,25.7,83.9,3.8,11.0
AQ_006474,Spain,Malaga,2025-02-15,24.5,60.4,7.6,12.2,1.4,10.0,30.3,45.6,7.4,25.0
AQ_013211,Turkey,Elazig,2025-03-14,11.4,19.4,37.6,9.3,2.9,10.0,16.4,49.2,3.6,16.0
AQ_001707,Turkey,Elazig,2025-02-22,17.0,39.2,7.6,3.4,3.0,10.0,3.3,80.4,3.7,17.0
AQ_011378,Italy,Prato,2025-03-15,13.3,19.1,9.0,5.2,2.4,10.0,13.5,70.7,4.8,12.0
AQ_002290,USA,Phoenix,2025-02-03,29.3,66.6,11.5,10.6,2.6,10.0,16.8,99.8,4.5,29.0
AQ_009899,Australia,Hobart,2025-03-11,28.5,58.2,42.3,6.9,1.7,10.0,23.7,56.7,2.7,31.0
AQ_005758,South Korea,Seoul,2025-01-11,76.8,105.8,5.0,2.0,1.2,10.4,21.9,75.8,3.1,54.0
AQ_014339,Canada,London,2025-01-11,25.0,42.5,6.0,6.7,3.3,10.0,4.5,72.8,2.1,21.0
AQ_012096,Brazil,Recife,2025-01-09,21.6,37.6,15.2,3.0,1.4,14.4,-0.9,79.4,6.1,20.0
AQ_000881,Australia,Brisbane,2025-01-22,10.3,14.3,6.9,9.0,3.4,10.0,-4.9,52.5,4.9,10.0
AQ_008257,France,Nimes,2025-01-24,32.4,52.0,37.4,4.3,1.9,10.0,8.2,50.4,3.5,30.0
AQ_001910,Italy,Messina,2025-01-13,47.8,101.4,22.5,3.9,2.2,10.1,30.8,83.6,2.8,44.0
AQ_001294,Mexico,Mexicali,2025-01-10,31.3,51.4,12.6,5.6,1.7,10.0,1.2,36.0,6.8,26.0
AQ_016916,Brazil,Belem,2025-02-16,26.4,55.8,12.2,8.6,1.7,10.0,35.6,34.2,4.1,25.0
AQ_016216,Japan,Yokohama,2025-01-03,30.0,49.5,17.3,10.3,1.8,10.0,27.8,81.7,4.4,26.0
AQ_013767,France,Toulon,2025-03-09,24.2,42.9,5.0,3.3,3.0,10.8,18.0,49.4,6.3,20.0
AQ_014627,Italy,Rome,2025-03-27,5.0,10.0,5.0,9.3,1.9,24.7,23.9,43.5,5.7,8.0
